material_number,fiscal_month,pcf_amt,pcf_units
HD36-18-14SE-072,2023M9,1591,106
HD36-18-14SN,2023M9,15127,1530
HD36-18-14SN-059,2023M9,79714,4165
HD36-18-14SN-072,2023M9,64017,4911
HD36-18-20PN,2023M9,14153,1309
HD36-18-20SN,2023M9,3639,296
HD36-18-20SN-059,2023M9,7135,333
HD36-18-21PN,2023M9,6967,683
HD36-18-21SN,2023M9,6739,795
HD36-18-21SN-059,2023M9,14304,761
HD36-18-21SN-072,2023M9,0,0
HD36-18-6SN-C030,2023M9,933,63
HD36-18-8PE,2023M9,733,80
HD36-18-8PN,2023M9,2460,300
HD36-18-8SN,2023M9,3812,320
HD36-18-8SN-059,2023M9,11402,575
HD36-18-8SN-072,2023M9,63,4
HD36-24-14SE,2023M9,1258,137
HD36-24-14SN,2023M9,9,1
HD36-24-14SN-059,2023M9,320,16
HD36-24-16PN,2023M9,1237,103
HD36-24-16PN-059,2023M9,1621,64
HD36-24-16SE,2023M9,592,72
HD36-24-16SE-072,2023M9,0,0
HD36-24-16SN,2023M9,7663,778
HD36-24-16SN-059,2023M9,3337,184
HD36-24-18PE,2023M9,0,0
HD36-24-18PN,2023M9,4504,440
HD36-24-18SN,2023M9,2530,210
HD36-24-19PE-059,2023M9,688,28
HD36-24-19SE,2023M9,316,23
HD36-24-19SE-072,2023M9,47167,4492
HD36-24-19SN,2023M9,2489,245
HD36-24-19SN-059,2023M9,3676,173
HD36-24-21PE,2023M9,1554,136
HD36-24-21PE-059,2023M9,19202,730
HD36-24-21PE-072,2023M9,38,3
HD36-24-21PN-059,2023M9,1965,65
HD36-24-21SE,2023M9,1276,116
HD36-24-21SE-059,2023M9,4416,220
HD36-24-21SN,2023M9,5018,597
HD36-24-21SN-059,2023M9,3156,160
HD36-24-21SN-072,2023M9,4296,396
HD36-24-23PE,2023M9,2129,142
HD36-24-23PE-059,2023M9,2952,97
HD36-24-23PE-072,2023M9,560,26
HD36-24-23PE-L006,2023M9,462,20
HD36-24-23PN,2023M9,7400,721
HD36-24-23PN-072,2023M9,4147,278
HD36-24-23SE,2023M9,15118,1544
HD36-24-23SE-059,2023M9,5379,203
HD36-24-23SE-L005,2023M9,33,2
HD36-24-23SN,2023M9,5830,573
HD36-24-23SN-059,2023M9,12857,675
HD36-24-23SN-072,2023M9,3111,283
HD36-24-29PE,2023M9,5897,489
HD36-24-29SE,2023M9,8374,794
HD36-24-29SE-059,2023M9,3286,183
HD36-24-29SE-L005,2023M9,3323,200
HD36-24-31PE,2023M9,15418,1638
HD36-24-31PE-059,2023M9,4085,153
HD36-24-31PE-072,2023M9,4294,177
HD36-24-31PT,2023M9,7122,580
HD36-24-31PT-059,2023M9,3797,147
HD36-24-31PT-072,2023M9,129,9
HD36-24-31SE,2023M9,23596,2046
HD36-24-31SE-059,2023M9,51448,2204
HD36-24-31SE-072,2023M9,2544,112
HD36-24-31SE-B019,2023M9,16527,831
HD36-24-31SE-L005,2023M9,8354,330
HD36-24-31ST,2023M9,22344,2107
HD36-24-31ST-059,2023M9,18219,796
HD36-24-31ST-072,2023M9,1227,87
HD36-24-31ST-B019,2023M9,13449,472
HD36-24-31ST-L006,2023M9,167,5
HD36-24-33PN,2023M9,18,1
HD36-24-33PN-059,2023M9,2936,108
HD36-24-33SN,2023M9,607,52
HD36-24-33SN-059,2023M9,371,18
HD36-24-35PN,2023M9,1775,141
HD36-24-35PN-059,2023M9,1317,53
HD36-24-47PE,2023M9,7500,615
HD36-24-47SE,2023M9,80950,9192
HD36-24-47SE-059,2023M9,9346,396
HD36-24-47SE-072,2023M9,183,5
HD36-24-47SE-L005,2023M9,13837,468
HD36-24-91SN,2023M9,354,19
HD36-24-91SN-059,2023M9,12496,648
HD36-24-9PN-059,2023M9,159,8
HD36-24-9SN,2023M9,12756,1271
HDB36-18-14PE-059,2023M9,0,0
HDB36-18-14SN,2023M9,159,10
HDB36-24-18PN-059,2023M9,1511,45
HDB36-24-31SE-059,2023M9,15231,465
HDB36-24-91SE-059,2023M9,41995,1735
HDB36-24-91SN-059,2023M9,40279,1760
HDP24-18-14PE,2023M9,60489,10881
HDP24-18-14PE-L017,2023M9,12653,1636
HDP24-18-14PN,2023M9,17803,3220
HDP24-18-14PN-L017,2023M9,603,66
HDP24-18-14SE,2023M9,18306,3142
HDP24-18-14SE-L017,2023M9,239620,81530
HDP24-18-14SN,2023M9,9020,1516
HDP24-18-20PE,2023M9,5120,796
HDP24-18-20PE-L017,2023M9,7355,748
HDP24-18-20PN,2023M9,27590,4982
HDP24-18-20SN,2023M9,4085,675
HDP24-18-21PN,2023M9,35506,5330
HDP24-18-21PN-L017,2023M9,3656,444
HDP24-18-21SN,2023M9,7386,1226
HDP24-18-21SN-L017,2023M9,1146,90
HDP24-18-6PN,2023M9,22159,3773
HDP24-18-6PN-C030,2023M9,9797,1518
HDP24-18-6PN-L017,2023M9,9106,1086
HDP24-18-8PE,2023M9,6382,910
HDP24-18-8PE-L017,2023M9,3409,500
HDP24-18-8PN,2023M9,5680,998
HDP24-18-8SE,2023M9,1565,209
HDP24-18-8SN,2023M9,10255,1693
HDP24-24-14PE,2023M9,127,16
HDP24-24-14PN,2023M9,2883,394
HDP24-24-14SN,2023M9,7240,1120
HDP24-24-14SN-L017,2023M9,770,153
HDP24-24-16PE,2023M9,26641,3853
HDP24-24-16PE-L017,2023M9,10241,1226
HDP24-24-16PN,2023M9,4803,681
HDP24-24-16PN-L017,2023M9,475,41
HDP24-24-16SE,2023M9,5780,949
HDP24-24-16SN,2023M9,1697,196
HDP24-24-18PE,2023M9,23781,3536
HDP24-24-18PE-L015,2023M9,1746,177
HDP24-24-18PE-L017,2023M9,12669,1273
HDP24-24-18PN,2023M9,8869,1202
HDP24-24-18PN-L017,2023M9,365,39
HDP24-24-18SE,2023M9,2539,285
HDP24-24-18SE-L017,2023M9,2078,190
HDP24-24-18SN,2023M9,1278,160
HDP24-24-19PE,2023M9,64192,9336
HDP24-24-19PE-L015,2023M9,3329,391
HDP24-24-19PE-L017,2023M9,53984,7936
HDP24-24-19PN,2023M9,13876,2065
HDP24-24-19PN-L015,2023M9,295,28
HDP24-24-19PN-L017,2023M9,2923,376
HDP24-24-19SE,2023M9,6357,767
HDP24-24-19SE-L015,2023M9,1290,129
HDP24-24-19SE-L017,2023M9,5440,550
HDP24-24-19SN,2023M9,8902,1390
HDP24-24-19SN-L015,2023M9,0,0
HDP24-24-19SN-L017,2023M9,2016,187
HDP24-24-21PE,2023M9,77858,12683
HDP24-24-21PE-L015,2023M9,5064,542
HDP24-24-21PE-L017,2023M9,10723,1360
HDP24-24-21PN,2023M9,18564,2727
HDP24-24-21PN-L015,2023M9,1643,220
HDP24-24-21PN-L017,2023M9,16256,1600
HDP24-24-21SE,2023M9,10535,1256
HDP24-24-21SE-L015,2023M9,1473,146
HDP24-24-21SE-L017,2023M9,25261,2906
HDP24-24-21SN,2023M9,1489,213
HDP24-24-21SN-L017,2023M9,411,32
HDP24-24-23PE,2023M9,57289,10549
HDP24-24-23PE-L015,2023M9,7158,882
HDP24-24-23PE-L017,2023M9,28365,4156
HDP24-24-23PN,2023M9,37928,5785
HDP24-24-23PN-L015,2023M9,429,25
HDP24-24-23PN-L017,2023M9,4860,614
HDP24-24-23PT,2023M9,10804,1984
HDP24-24-23SE,2023M9,10672,1393
HDP24-24-23SE-L015,2023M9,11329,1388
HDP24-24-23SE-L017,2023M9,11186,1238
HDP24-24-23SN,2023M9,3429,400
HDP24-24-23SN-L017,2023M9,61,6
HDP24-24-23ST,2023M9,584,64
HDP24-24-29PE,2023M9,116910,19072
HDP24-24-29PE-L015,2023M9,25419,2986
HDP24-24-29PE-L017,2023M9,32166,4765
HDP24-24-29SE,2023M9,24194,3082
HDP24-24-29SE-L015,2023M9,9100,1263
HDP24-24-29SE-L017,2023M9,12197,1169
HDP24-24-31PE,2023M9,151760,26552
HDP24-24-31PE-L015,2023M9,34576,4013
HDP24-24-31PE-L017,2023M9,102671,12981
HDP24-24-31PT,2023M9,61700,10898
HDP24-24-31PT-L015,2023M9,471,41
HDP24-24-31PT-L017,2023M9,10645,1099
HDP24-24-31SE,2023M9,58604,8915
HDP24-24-31SE-L015,2023M9,3928,426
HDP24-24-31SE-L017,2023M9,39083,4446
HDP24-24-31ST,2023M9,45800,8092
HDP24-24-31ST-L017,2023M9,4769,425
HDP24-24-33PN,2023M9,3300,488
HDP24-24-33SN,2023M9,913,95
HDP24-24-33SN-L015,2023M9,1140,107
HDP24-24-33SN-L017,2023M9,360,51
HDP24-24-35PE,2023M9,9942,1410
HDP24-24-35PE-L015,2023M9,6648,665
HDP24-24-35PE-L017,2023M9,983,145
HDP24-24-35PN,2023M9,20868,3067
HDP24-24-35PN-L015,2023M9,1014,108
HDP24-24-35PN-L017,2023M9,1380,160
HDP24-24-35SE,2023M9,0,0
HDP24-24-35SN-L017,2023M9,196,20
HDP24-24-47PE,2023M9,97857,15498
HDP24-24-47PE-L015,2023M9,10527,1068
HDP24-24-47PE-L017,2023M9,77330,12150
HDP24-24-47SE,2023M9,72164,8968
HDP24-24-47SE-L015,2023M9,952,84
HDP24-24-47SE-L017,2023M9,17313,1774
HDP24-24-7PN-C038,2023M9,27465,3065
HDP24-24-91PE-L015,2023M9,8048,684
HDP24-24-91PN-P064,2023M9,6190,502
HDP24-24-9PE,2023M9,39165,6499
HDP24-24-9PE-L015,2023M9,1651,170
HDP24-24-9PE-L017,2023M9,7428,1058
HDP24-24-9PN,2023M9,15570,2079
HDP24-24-9SE,2023M9,6304,720
HDP24-24-9SN,2023M9,1419,218
HDP24-24-9SN-L015,2023M9,0,0
HDP26-18-14PE,2023M9,6656,971
HDP26-18-14PE-L017,2023M9,73098,19434
HDP26-18-14PN,2023M9,10617,1575
HDP26-18-14SE,2023M9,28068,4644
HDP26-18-14SE-L015,2023M9,5159,690
HDP26-18-14SE-L017,2023M9,51117,6825
HDP26-18-14SN,2023M9,16385,2570
HDP26-18-14SN-L017,2023M9,14288,1952
HDP26-18-20PN,2023M9,1539,161
HDP26-18-20SE,2023M9,3356,489
HDP26-18-20SE-L017,2023M9,13201,1318
HDP26-18-20SN,2023M9,16502,2910
HDP26-18-20SN-L017,2023M9,178,19
HDP26-18-21PN,2023M9,4322,678
HDP26-18-21PN-L017,2023M9,2806,345
HDP26-18-21SN,2023M9,16133,2207
HDP26-18-21SN-L017,2023M9,18313,1771
HDP26-18-6SN,2023M9,21242,3423
HDP26-18-6SN-C030,2023M9,8166,1021
HDP26-18-6SN-L017,2023M9,17246,2106
HDP26-18-8PN,2023M9,12826,1798
HDP26-18-8PN-L017,2023M9,3459,388
HDP26-18-8SE,2023M9,3566,415
HDP26-18-8SE-L017,2023M9,9253,1370
HDP26-18-8SN,2023M9,9705,1152
HDP26-24-14PN,2023M9,9388,1086
HDP26-24-14SE-L017,2023M9,654,75
HDP26-24-14SN,2023M9,3983,481
HDP26-24-14SN-L015,2023M9,2,0
HDP26-24-14SN-L017,2023M9,278,26
HDP26-24-16PE-L015,2023M9,1927,254
HDP26-24-16PE-L017,2023M9,6318,527
HDP26-24-16PN,2023M9,1317,123
HDP26-24-16PN-L015,2023M9,2342,232
HDP26-24-16SE,2023M9,36577,4546
HDP26-24-16SE-L015,2023M9,5732,611
HDP26-24-16SE-L017,2023M9,14230,1764
HDP26-24-16SN,2023M9,10088,1125
HDP26-24-16SN-L015,2023M9,98,5
HDP26-24-16SN-L017,2023M9,1282,108
HDP26-24-18PE-L017,2023M9,2736,214
HDP26-24-18PN,2023M9,897,116
HDP26-24-18PN-L015,2023M9,0,0
HDP26-24-18SE,2023M9,30860,3905
HDP26-24-18SE-L015,2023M9,6187,703
HDP26-24-18SE-L017,2023M9,17535,1780
HDP26-24-18SN,2023M9,16785,2270
HDP26-24-19PE,2023M9,8585,1046
HDP26-24-19PE-L017,2023M9,9525,809
HDP26-24-19PN,2023M9,14406,2035
HDP26-24-19PN-L017,2023M9,1566,145
HDP26-24-19SE,2023M9,54044,7769
HDP26-24-19SE-L015,2023M9,31688,3201
HDP26-24-19SE-L017,2023M9,61616,8089
HDP26-24-19SN,2023M9,15043,1781
HDP26-24-19SN-L015,2023M9,2750,285
HDP26-24-19SN-L017,2023M9,4969,610
HDP26-24-21PE,2023M9,5916,631
HDP26-24-21PE-L015,2023M9,5482,489
HDP26-24-21PE-L017,2023M9,15616,1561
HDP26-24-21PN,2023M9,8517,959
HDP26-24-21PN-L015,2023M9,51,4
HDP26-24-21PN-L017,2023M9,1065,101
HDP26-24-21SE,2023M9,55088,7333
HDP26-24-21SE-L015,2023M9,16505,1952
HDP26-24-21SE-L017,2023M9,26210,3190
HDP26-24-21SN,2023M9,22383,2832
HDP26-24-21SN-L017,2023M9,11628,1174
HDP26-24-23PE,2023M9,9292,1009
HDP26-24-23PE-L015,2023M9,17347,2120
HDP26-24-23PE-L017,2023M9,15374,1443
HDP26-24-23PN,2023M9,5985,792
HDP26-24-23PN-L017,2023M9,4588,366
HDP26-24-23SE,2023M9,64045,9770
HDP26-24-23SE-L015,2023M9,12825,1433
HDP26-24-23SE-L017,2023M9,80038,9251
HDP26-24-23SN,2023M9,24634,3302
HDP26-24-23SN-L015,2023M9,9109,948
HDP26-24-23SN-L017,2023M9,10339,1270
HDP26-24-23ST,2023M9,15793,1784
HDP26-24-29PE,2023M9,15901,1914
HDP26-24-29PE-L015,2023M9,14653,1882
HDP26-24-29PE-L017,2023M9,15716,1452
HDP26-24-29SE,2023M9,112046,15592
HDP26-24-29SE-L015,2023M9,23116,2412
HDP26-24-29SE-L017,2023M9,67073,7681
HDP26-24-31PE,2023M9,37302,5863
HDP26-24-31PE-L015,2023M9,12740,1161
HDP26-24-31PE-L017,2023M9,43382,4402
HDP26-24-31PT,2023M9,42036,5231
HDP26-24-31PT-L015,2023M9,3430,323
HDP26-24-31PT-L017,2023M9,9320,1123
HDP26-24-31SE,2023M9,140377,21979
HDP26-24-31SE-L015,2023M9,36532,3605
HDP26-24-31SE-L017,2023M9,111537,14662
HDP26-24-31ST,2023M9,58825,9732
HDP26-24-31ST-L015,2023M9,4335,558
HDP26-24-31ST-L017,2023M9,15104,1784
HDP26-24-33PN-L015,2023M9,4681,393
HDP26-24-33PN-L017,2023M9,1077,82
HDP26-24-33SN,2023M9,4106,434
HDP26-24-33SN-L017,2023M9,897,86
HDP26-24-35PN,2023M9,1561,173
HDP26-24-35PN-L015,2023M9,0,0
HDP26-24-35PN-L017,2023M9,583,38
HDP26-24-35SE,2023M9,2973,402
HDP26-24-35SE-L015,2023M9,2844,253
HDP26-24-35SN,2023M9,25367,3553
HDP26-24-35SN-L015,2023M9,1430,124
HDP26-24-35SN-L017,2023M9,7483,543
HDP26-24-47PE,2023M9,28528,3380
HDP26-24-47PE-L015,2023M9,7046,639
HDP26-24-47PE-L017,2023M9,61134,5837
HDP26-24-47SE,2023M9,117223,16364
HDP26-24-47SE-L015,2023M9,16692,1601
HDP26-24-47SE-L017,2023M9,97854,12704
HDP26-24-7SN-C038,2023M9,15350,1570
HDP26-24-91SE-L015,2023M9,18834,1326
HDP26-24-91SN-P064,2023M9,4925,476
HDP26-24-9PE,2023M9,4444,438
HDP26-24-9PE-L017,2023M9,419,28
HDP26-24-9PN,2023M9,2338,210
HDP26-24-9SE,2023M9,63678,9999
HDP26-24-9SE-L015,2023M9,1747,208
HDP26-24-9SE-L017,2023M9,21049,2087
HDP26-24-9SN,2023M9,20058,2590
HDP26-24-9SN-L015,2023M9,13,1
HDP26-24-9SN-L017,2023M9,4927,437
K1000090,2023M9,1811,20
K1002401,2023M9,1136,11
K1002456,2023M9,0,0
K1002698,2023M9,2771,100
K1006083,2023M9,26074,311
K1006114,2023M9,3807,50
K1008698,2023M9,2997,22
K1008783,2023M9,0,0
K1008808,2023M9,23534,174
K1009219,2023M9,0,0
K1009319,2023M9,12782,12
K1009404,2023M9,16359,101
K1009421,2023M9,17176,98
K1010788,2023M9,11412,143
K1010834,2023M9,1865,26
K1012050,2023M9,0,0
K1012081,2023M9,0,0
K1012888,2023M9,6215,48
K1012916,2023M9,1481,12
K1012918,2023M9,6350,108
K1013120,2023M9,703,6
K1013134,2023M9,9454,18
K1013135,2023M9,9589,1210
K1013137,2023M9,13490,26
K1013398,2023M9,3256,32
K1013399,2023M9,5698,40
K1013507,2023M9,1020,45
K1013577,2023M9,16457,125
K1013583,2023M9,0,0
K1013592,2023M9,0,0
K1013636,2023M9,13225,30
K1013637,2023M9,17869,10
K1013760,2023M9,9240,34
K1013769,2023M9,0,0
K1014846,2023M9,11082,47
K1014959,2023M9,2320,20
K1016715,2023M9,0,0
K1016815,2023M9,2978,18
K1018833,2023M9,0,0
K1018878,2023M9,0,0
K1018968,2023M9,0,0
K1019293,2023M9,3319,12
K1020096,2023M9,0,0
K1020908,2023M9,14769,206
K1021043,2023M9,5536,55
K1021390,2023M9,8580,20
K1021410,2023M9,7121,107
K1021419,2023M9,3274,42
K1021427,2023M9,23810,366
K1021430,2023M9,2009,3
K1023465,2023M9,6429,90
K1023490,2023M9,0,0
K1023979,2023M9,0,0
K1024563,2023M9,0,0
K1024631,2023M9,5238,25
K1040530,2023M9,0,0
K1040643,2023M9,0,0
K1040679,2023M9,0,0
K1041174,2023M9,14273,75
K1042065,2023M9,651,10
K1050031,2023M9,2714,5
K1050098,2023M9,0,0
K1050124,2023M9,0,0
K1050172,2023M9,0,0
K1050201,2023M9,1441,18
K1050364,2023M9,87120,350
K1050558,2023M9,765,8
K1050559,2023M9,0,0
K1050643,2023M9,0,0
K1050655,2023M9,476,8
K1060010,2023M9,17876,442
K1060022,2023M9,0,0
K1060028,2023M9,50854,831
K1060041,2023M9,2493,28
K1060046,2023M9,2021,25
K1060155,2023M9,6233,74
K1060185,2023M9,16607,256
K1060191,2023M9,0,0
K1060207,2023M9,0,0
K1060224,2023M9,5112,65
K1060227,2023M9,4966,79
K1060243,2023M9,3812,77
K1060251,2023M9,22150,359
K1060251-1,2023M9,22560,360
K1060251-2,2023M9,8272,132
K1060274,2023M9,0,0
K1060283,2023M9,20176,392
K1060319,2023M9,1839,15
K1060329,2023M9,2121,23
K1060391,2023M9,16727,35
K1060393,2023M9,0,0
K1060405,2023M9,159,2
K1060487,2023M9,8271,104
K1060489,2023M9,6660,117
K1060540,2023M9,0,0
K1060549,2023M9,0,0
K1060611,2023M9,2902,23
K1060650,2023M9,1660,47
K1060688,2023M9,127,1
K1060724,2023M9,11977,60
K1121763,2023M9,4243,50
K1121830,2023M9,784,8
K1124233,2023M9,9013,155
K1126415,2023M9,8427,97
K1126416,2023M9,14086,195
K1126812,2023M9,9106,115
K1126883,2023M9,1396,1650
K1127684,2023M9,2438,50
K1127693,2023M9,0,0
K1128160,2023M9,0,0
K1128203,2023M9,3117,3
K1129502,2023M9,2939,20
K1129539,2023M9,30635,595
K1129657,2023M9,24638,474
K1129930,2023M9,960,19
K1131030,2023M9,5081,144
K1132047,2023M9,10661,216
K1132114,2023M9,592,11
K1132159,2023M9,7646,94
K1132289,2023M9,0,0
K1132289-1,2023M9,3266,24
K1133295,2023M9,60462,100
K1133444,2023M9,0,0
K1133449,2023M9,2631,43
K1134702,2023M9,1941,20
K1135600,2023M9,92596,200
K1135606,2023M9,62704,225
K1136453,2023M9,2311,20
K1136510,2023M9,2453,18
K1138171,2023M9,1160,5
K1138370,2023M9,0,0
K1139065,2023M9,3957,30
K1139190,2023M9,989,9
K1139980,2023M9,3303,29
K1140572,2023M9,0,0
K1140573,2023M9,0,0
K1140588,2023M9,0,0
K1140731,2023M9,9738,149
K1141456,2023M9,0,0
K1141797,2023M9,213348,777
K1141798,2023M9,197532,550
K1142227,2023M9,0,0
K1142228,2023M9,19589,440
K1142609,2023M9,0,0
K1142636-4,2023M9,120134,1539
K1143004,2023M9,7696,86
K1143046,2023M9,25659,236
K1143403,2023M9,0,0
K1143832,2023M9,7756,83
K1144296,2023M9,4732,39
K1144762,2023M9,24088,150
K1144876,2023M9,0,0
K1146079,2023M9,600,54
K1146228,2023M9,0,0
K1147050,2023M9,29561,150
K1147622,2023M9,0,0
K1148154,2023M9,0,0
K1148741,2023M9,1059,20
K1149192,2023M9,36435,800
K1149408,2023M9,0,0
K1151027,2023M9,0,0
K1151666,2023M9,0,0
K1151701,2023M9,0,0
K1151721-4,2023M9,2817,50
K1152919,2023M9,3516,13
K1152921,2023M9,0,0
K1153247,2023M9,341,1
K1153619,2023M9,14045,230
K1154384,2023M9,0,0
K1155069,2023M9,0,0
K1155361,2023M9,2137,5
K1155565,2023M9,1670,12
K1155589,2023M9,2131,30
K1156373,2023M9,0,0
K1156973,2023M9,25914,352
K1157163,2023M9,90000,500
K1157164,2023M9,26554,240
K1157247,2023M9,1624,6
K1157485,2023M9,17913,108
K1157959,2023M9,0,0
K1158221,2023M9,8223,829
K1158881,2023M9,10858,150
K1158969,2023M9,0,0
K1159396,2023M9,3902,15
K1159711,2023M9,42653,150
K1159712,2023M9,5773,200
K1159914,2023M9,51604,825
K1160848,2023M9,3535,50
K1161557,2023M9,0,0
K1162088,2023M9,7052,96
K1162401,2023M9,1646,13
K1162551,2023M9,6396,50
K1162563,2023M9,0,0
K1162721,2023M9,9042,144
K1163225,2023M9,11093,81
K1163464,2023M9,0,0
K1163644,2023M9,7484,52
K1163793,2023M9,0,0
K1163949,2023M9,0,0
K1164036,2023M9,0,0
K1165753,2023M9,689035,120
K1166595,2023M9,60627,592
K1167013,2023M9,27887,615
K1167015,2023M9,24193,535
K1167015-4,2023M9,1628,36
K1167017,2023M9,1809,40
K1167031,2023M9,50302,350
K2006976,2023M9,538,87
K2009661,2023M9,1609,100
K2009904,2023M9,0,0
K2015358,2023M9,27801,500
K2017835,2023M9,0,0
K2018276,2023M9,1476,5
K2018278,2023M9,24463,83
K2018280,2023M9,0,0
SRK13-MDA-32A-001,2023M9,10025,402
SRK13-MDB-32A-001,2023M9,8381,336
SRK15-MDC-32A-001,2023M9,2041,174
SRK15-MDE-32A-001,2023M9,1982,169
SRK15-MDF-32A-001,2023M9,2023,174
SRK15MDA32A001G003,2023M9,1570,110
SRK15MDB32A001G003,2023M9,2381,242
YDT04-08PA-P027000,2023M9,6702,1258
YDT04-2P-P06000000,2023M9,4597,1976
YHD34-24-91PE-0720,2023M9,8525,439
YHDP24-18-14PEC041,2023M9,59841,14201
YHDP24-18-14PEL024,2023M9,37957,7680
YHDP24-18-20PEL024,2023M9,1982,265
YHDP24-24-18PEL024,2023M9,6801,1199
YHDP24-24-19PEL024,2023M9,4615,711
YHDP24-24-19SEL024,2023M9,1434,161
YHDP24-24-21PEL024,2023M9,15751,2581
YHDP24-24-23PEL024,2023M9,1558,189
YHDP24-24-29PEL024,2023M9,8115,1466
YHDP24-24-31PEL024,2023M9,4212,672
YHDP24-24-35PEL024,2023M9,19,2
YHDP24-24-47PEL024,2023M9,7145,942
YHDP24-24-7PN-CL22,2023M9,4121,405
YHDP24-24-91PEL024,2023M9,1196,93
YHDP24-24-9PE-L024,2023M9,36835,7358
YHDP26-18-14SECL20,2023M9,13741,2133
YHDP26-18-14SEL024,2023M9,33657,6196
YHDP26-18-20SEL024,2023M9,1444,135
YHDP26-24-18SEL024,2023M9,8500,1262
YHDP26-24-19PEL024,2023M9,3233,413
YHDP26-24-19SEL024,2023M9,5451,667
YHDP26-24-21SEL024,2023M9,15208,2483
YHDP26-24-23SEL024,2023M9,6049,697
YHDP26-24-29SEL024,2023M9,11421,1823
YHDP26-24-31PEL024,2023M9,1143,138
YHDP26-24-31SEL024,2023M9,3534,536
YHDP26-24-35PEL017,2023M9,1600,139
YHDP26-24-47SEL024,2023M9,12103,1627
YHDP26-24-7SN-CL22,2023M9,11308,1265
YHDP26-24-9SE-L024,2023M9,1736,210
0209-001-0000,2023M10,147217,26416
0504-001-4001,2023M10,1681,418
0504-002-4001,2023M10,2034,600
0504-005-3801,2023M10,2063,961
0942318R02,2023M10,20663,6342
1-1418390-1,2023M10,303764,632026
1-1418437-1,2023M10,18158,20640
1-1418448-1,2023M10,140936,308039
1-1418448-2,2023M10,97075,245494
1-1418469-1,2023M10,96819,177680
1-1418479-1,2023M10,144450,247703
1-1418480-1,2023M10,89033,158492
1-1418483-1,2023M10,146784,340142
1-1418883-1,2023M10,553886,137958
1-1563759-1,2023M10,230595,201269
1-1563878-1,2023M10,41792,38724
1-1564297-6,2023M10,131487,27787
1-1564330-1,2023M10,54703,53005
1-1564337-1,2023M10,140220,146062
1-1564407-1,2023M10,151946,105580
1-1564412-1,2023M10,29900,26054
1-1564414-1,2023M10,30764,30510
1-1564416-1,2023M10,44249,47109
1-1564512-1,2023M10,32372,48547
1-1564514-1,2023M10,57409,62123
1-1564518-1,2023M10,49979,34230
1-1564520-1,2023M10,252493,189686
1-1564522-1,2023M10,16108,13394
1-1564526-1,2023M10,192590,113350
1-1564528-1,2023M10,18370,15616
1-1564530-1,2023M10,25613,22200
1-1564534-1,2023M10,6949,5482
1-1564536-1,2023M10,13470,8972
1-1564542-1,2023M10,169120,298297
1-1564544-1,2023M10,93527,137260
1-1564546-1,2023M10,23091,25020
1-1670214-1,2023M10,16541,17271
1-1670730-1,2023M10,33966,66800
1-1670894-1,2023M10,21478,17044
1-1670901-1,2023M10,8846,6840
1-1703639-1,2023M10,290385,286733
1-1703648-1,2023M10,9386,13419
1-1703773-1,2023M10,27559,51705
1-1703808-1,2023M10,30668,42466
1-1703818-1,2023M10,76138,135319
1-1703820-1,2023M10,37043,48349
1-1703839-1,2023M10,17137,17429
1-1703841-1,2023M10,55987,79645
1-1703843-1,2023M10,24129,34853
1-1718324-1,2023M10,235455,74877
1-1718484-1,2023M10,109361,169241
1-1718484-2,2023M10,39110,53220
1-1718484-3,2023M10,15188,21376
1-1718484-4,2023M10,8032,10602
1-1718485-1,2023M10,50740,92462
1-1718485-2,2023M10,20409,37750
1-1718485-3,2023M10,9308,16731
1-1718485-4,2023M10,9904,12912
1-1718485-5,2023M10,2361,3600
1-1718485-6,2023M10,8166,10825
1-1823498-1,2023M10,360,50
1-2112041-1,2023M10,131959,48664
1-2112041-2,2023M10,34591,13637
1-2112699-1,2023M10,12779,727
1-2112700-1,2023M10,4577,320
1-2141481-1,2023M10,0,0
1-2141738-1,2023M10,0,0
1-2141738-2,2023M10,0,0
1-2141846-1,2023M10,48245,89931
1-2141846-2,2023M10,12928,24474
1-2141846-3,2023M10,1241,2475
1-2141846-4,2023M10,129,81
1-2141847-1,2023M10,18046,25967
1-2141847-2,2023M10,19464,27593
1-2141847-3,2023M10,3424,5035
1-2177566-1,2023M10,0,0
1-2177566-2,2023M10,1053,60
1-2208157-1,2023M10,7404,2468
1-2208685-6,2023M10,7420,1446
1-2272733-1,2023M10,38493,7667
1-2272733-2,2023M10,103764,15719
1-2272733-4,2023M10,22769,6312
1-2272733-5,2023M10,0,0
1-2272733-6,2023M10,6328,793
1-2293551-1,2023M10,55,10
1-2299782-1,2023M10,16162,17720
1-2299782-2,2023M10,8200,4446
1-2303815-3,2023M10,2310,7346
1-2303815-4,2023M10,8969,27292
1-2303816-4,2023M10,312,400
1-2318696-1,2023M10,69384,17269
1-2322907-1,2023M10,755,340
1-770669-1,2023M10,3505,624
1-776087-1,2023M10,101345,21662
1-776087-4,2023M10,17734,3400
1-776087-5,2023M10,2094,381
1-776163-1,2023M10,69315,20145
1-776163-2,2023M10,15987,2938
1-776163-4,2023M10,18847,3000
1-776163-5,2023M10,66611,11569
1-776163-6,2023M10,5455,800
1-776180-1,2023M10,38666,6901
1-776180-2,2023M10,285,42
1-776180-5,2023M10,6216,915
1-776200-1,2023M10,2306,480
1-776200-2,2023M10,967,226
1-776200-4,2023M10,0,0
1-776200-5,2023M10,8117,3000
1-776228-1,2023M10,34396,8646
