snapshot_date,material_number,region,past_due_amt,past_due_qty
2023-03-27,0462-201-16141,APAC,11840.16,58748
2023-03-27,0462-201-16141,EMEA,1764.56,12501
2023-03-27,0462-201-16141,EMEA,2298.6,10050
2023-03-27,0462-201-16141,AMER,641.85,3100
2023-03-27,0462-201-1631,APAC,51286.96,100000
2023-03-27,0462-201-1631,APAC,79847.49,235545
2023-03-27,0462-201-1631,EMEA,1013.4,2000
2023-03-27,0462-201-1631,EMEA,9927.54,40001
2023-03-27,0462-201-1631,AMER,435618.29,1145091
2023-03-27,0462-201-20141,AMER,62.18,165
2023-03-27,0462-201-2031,AMER,1397.26,2810
2023-03-27,0462-203-04141,APAC,16007.93,5460
2023-03-27,0462-203-04141,EMEA,2429.36,600
2023-03-27,0462-203-04141,AMER,4494.34,1296
2023-03-27,0462-203-08141,APAC,7156.47,3447
2023-03-27,0462-203-08141,EMEA,1397.7,500
2023-03-27,0462-203-08141,AMER,2658.14,880
2023-03-27,0462-203-12141,APAC,51.55,169
2023-03-27,0462-203-12141,EMEA,109.73,500
2023-03-27,0462-203-12141,EMEA,559.99,2743
2023-03-27,0462-203-12141,EMEA,2070.94,5000
2023-03-27,0462-203-12141,AMER,461.69,1800
2023-03-27,0462-209-16141,APAC,4476.31,20000
2023-03-27,0462-209-16141,APAC,4.24,15
2023-03-27,0462-209-16141,EMEA,98.77,500
2023-03-27,0462-209-16141,EMEA,3436.76,10000
2023-03-27,0462-209-16141,AMER,9801.36,45544
2023-03-27,0462-209-1631,APAC,246.17,500
2023-03-27,0462-209-1631,EMEA,3477.94,7500
2023-03-27,0462-209-1631,AMER,305.94,250
2023-03-27,0513-017-8006,AMER,5163.35,2500
2023-03-27,0513-028-2406,AMER,222.9,250
2023-03-27,0515-004-2405,AMER,9.99,26
2023-03-27,0526-012-0090,AMER,21.6,10
2023-03-27,0528-001-5005,APAC,412.39,257
2023-03-27,0528-001-5005,AMER,93.27,90
2023-03-27,0528-002-6005,APAC,6000.03,3470
2023-03-27,0528-002-6005,EMEA,303.91,180
2023-03-27,0528-005-3805,APAC,3299.68,1440
2023-03-27,0528-006-7005,APAC,241.03,120
2023-03-27,0528-006-7005,AMER,598.95,305
2023-03-27,0528-012-7005,AMER,269.87,98
2023-03-27,063725P080,AMER,2214,20000
2023-03-27,0805-202-2401,AMER,1634.38,200
2023-03-27,838016002,EMEA,375.12,10000
2023-03-27,882513001,EMEA,4654.13,2800
2023-03-27,989076002,AMER,762.64,24000
2023-03-27,100283-1,EMEA,3620.54,1200
2023-03-27,100284-1,APAC,3029.64,2050
2023-03-27,100284-1,EMEA,580.35,300
2023-03-27,100284-1,EMEA,18834.87,12000
2023-03-27,100292-1,EMEA,2609.53,1800
2023-03-27,1010-042-1206,AMER,6413.86,10000
2023-03-27,1010-058-1206,AMER,2756.25,25000
2023-03-27,1010-066-0406,AMER,826.8,15000
2023-03-27,1010-070-0606,AMER,835.05,15000
2023-03-27,10100945-KIT,AMER,233.33,14
2023-03-27,1011-026-0205,APAC,1263.73,7768
2023-03-27,1011-026-0205,AMER,45.55,60
2023-03-27,1011-027-0805,EMEA,1.85,10
2023-03-27,1011-027-0805,AMER,315.83,1575
2023-03-27,1011-047-0605,AMER,802.69,2595
2023-03-27,1011-053-1205,AMER,644.32,2000
2023-03-27,1011-227-0205,APAC,2171,4040
2023-03-27,1011-227-0205,EMEA,476,1000
2023-03-27,1011-227-0205,EMEA,150.27,250
2023-03-27,1011-227-0205,AMER,100.47,120
2023-03-27,1011-228-0205,APAC,2508.22,4410
2023-03-27,1011-228-0205,EMEA,1221.74,2000
2023-03-27,1011-229-0205,APAC,424.75,751
2023-03-27,1011-229-0205,EMEA,288.25,400
2023-03-27,1011-231-0305,APAC,2218.55,2022
2023-03-27,1011-231-0305,EMEA,4.73,5
2023-03-27,1011-232-0305,APAC,134.36,100
2023-03-27,1011-233-0305,APAC,609.07,850
2023-03-27,1011-233-0305,AMER,683.49,1000
2023-03-27,1011-235-0405,APAC,303.3,436
2023-03-27,1011-236-0405,EMEA,956.99,900
2023-03-27,1011-237-0405,APAC,669.97,1500
2023-03-27,1011-237-0405,AMER,421.02,500
2023-03-27,1011-239-0605,APAC,1155.7,1527
2023-03-27,1011-239-0605,EMEA,242.81,400
2023-03-27,1011-239-0605,AMER,5799.15,5582
2023-03-27,1011-240-0605,APAC,1373.38,1000
2023-03-27,1011-241-0605,APAC,1874.68,2684
2023-03-27,1011-241-0605,EMEA,127.53,100
2023-03-27,1011-243-0805,APAC,5832.79,3500
2023-03-27,1011-243-0805,APAC,562.24,700
2023-03-27,1011-243-0805,EMEA,1202.81,1360
2023-03-27,1011-244-0805,AMER,815.04,600
2023-03-27,1011-245-0805,APAC,2960.71,3300
2023-03-27,1011-245-0805,APAC,381,300
2023-03-27,1011-245-0805,APAC,325.43,300
2023-03-27,1011-245-0805,EMEA,11712.84,14510
2023-03-27,1011-245-0805,EMEA,2286.64,2662
2023-03-27,1011-247-1205,APAC,698.31,500
2023-03-27,1011-247-1205,APAC,405.44,350
2023-03-27,1011-247-1205,EMEA,116.2,115
2023-03-27,1011-247-1205,EMEA,5254.58,3950
2023-03-27,1011-247-1205,EMEA,197.6,122
2023-03-27,1011-249-1205,APAC,1117.3,800
2023-03-27,1011-250-1205,APAC,339.82,280
2023-03-27,1011-257-0205,EMEA,97.6,200
2023-03-27,1011-257-0205,AMER,234.5,336
2023-03-27,1011-259-0305,EMEA,2645.24,4620
2023-03-27,1011-261-0305,EMEA,312.9,300
2023-03-27,1011-263-0405,EMEA,15993.44,13000
2023-03-27,1011-265-0405,APAC,325.17,500
2023-03-27,1011-273-0205,APAC,5280,6000
2023-03-27,1011-273-0205,EMEA,1149.18,1000
2023-03-27,1011-290-0805,EMEA,4008.1,16980
2023-03-27,1011-310-0205,EMEA,9489.78,36000
2023-03-27,1011-310-0205,EMEA,1444.91,1700
2023-03-27,1011-331-0205,EMEA,1438.33,4150
2023-03-27,1011-331-0205,AMER,795.55,1260
2023-03-27,1011-344-0205,APAC,3152.85,16000
2023-03-27,1011-344-0205,EMEA,4134.14,15404
2023-03-27,1011-344-0205,EMEA,768.74,4500
2023-03-27,1011-344-0205,AMER,150.98,400
2023-03-27,1011-345-0305,APAC,2570.77,9740
2023-03-27,1011-345-0305,EMEA,353.1,830
2023-03-27,1011-345-0305,EMEA,590.95,2600
2023-03-27,1011-345-0305,AMER,1124.66,2849
2023-03-27,1011-346-0405,EMEA,295.41,1200
2023-03-27,1011-346-0405,AMER,1157.52,4800
2023-03-27,1011-347-0605,EMEA,297.63,1000
2023-03-27,1011-347-0605,AMER,27.52,40
2023-03-27,1011-348-0805,APAC,163.79,200
2023-03-27,1011-348-0805,EMEA,214.18,600
2023-03-27,1011-348-0805,EMEA,402.8,1200
2023-03-27,1027-001-0800,APAC,134.35,150
2023-03-27,1027-003-1200,APAC,2304.04,3200
2023-03-27,1027-003-1200,EMEA,2749.38,3000
2023-03-27,1027-003-1200,AMER,16998.71,14910
2023-03-27,1027-004-1200,EMEA,1161.75,1000
2023-03-27,1027-005-1200,AMER,193.66,100
2023-03-27,1027-008-1200,APAC,5160.99,5000
2023-03-27,1027-008-1200,EMEA,446.98,500
2023-03-27,1027-014-0800,EMEA,257.06,200
2023-03-27,1027-014-0800,EMEA,4.37,4
2023-03-27,1028-008-0405,AMER,79.68,86
2023-03-27,1028-013-0805,AMER,59.2,10
2023-03-27,1028-015-1205,APAC,967.78,864
2023-03-27,1028-021-0205,AMER,14.08,23
2023-03-27,1028-027-0405,EMEA,895.79,500
2023-03-27,1028-041-0205,APAC,433.96,570
2023-03-27,1028-041-0205,EMEA,364.08,1700
2023-03-27,1028-041-0205,EMEA,484.64,1000
2023-03-27,1028-043-1205,EMEA,800.72,604
2023-03-27,103330-8,AMER,2790.7,3000
2023-03-27,103639-1,AMER,762.09,12560
2023-03-27,1060-12-0166,EMEA,2479.63,20000
2023-03-27,1060-12-0166,AMER,1109.06,10000
2023-03-27,1060-12-0222,APAC,254.92,2000
2023-03-27,1060-12-0222,EMEA,1606.3,12000
2023-03-27,1060-12-0222,EMEA,5870.59,42000
2023-03-27,1060-12-0222,EMEA,379.03,2000
2023-03-27,1060-12-0222,AMER,20.8,100
2023-03-27,1060-12-0222-PS,AMER,202.24,400
2023-03-27,1060-14-0122,APAC,151.19,3200
2023-03-27,1060-14-0122,EMEA,1300.47,22400
2023-03-27,1060-16-0122,APAC,22401.78,468000
2023-03-27,1060-16-0122,EMEA,837.21,4000
2023-03-27,1060-16-0122,APAC,4648.19,80000
2023-03-27,1060-16-0122,EMEA,7798.08,148000
2023-03-27,1060-16-0122,AMER,95.9,1000
2023-03-27,1060-16-0144,APAC,6575.52,48000
2023-03-27,1060-16-0144,APAC,4015.33,24000
2023-03-27,1060-16-0144,EMEA,3519.61,16000
2023-03-27,1060-16-0144,AMER,1151.68,8000
2023-03-27,1060-16-0622,APAC,87281.86,1294000
2023-03-27,1060-16-0622,EMEA,1169.03,16000
2023-03-27,1060-16-0622-PS,AMER,34.52,100
2023-03-27,1060-16-0644,APAC,6126.45,36000
2023-03-27,1060-16-0644,EMEA,2812.49,16000
2023-03-27,1060-16-0644,AMER,17141.47,120000
2023-03-27,1060-16-0644-PS,AMER,541,700
2023-03-27,1060-16-0988,EMEA,4195.26,32000
2023-03-27,1060-16-1222,APAC,339.37,4000
2023-03-27,1060-16-1222,APAC,816.87,9600
2023-03-27,1060-20-0122,APAC,295.89,8000
2023-03-27,1060-20-0122,APAC,18811.52,348000
2023-03-27,1060-20-0122,EMEA,8148.54,144000
2023-03-27,1060-20-0122,AMER,4473.2,112000
2023-03-27,1060-20-0122-PS,AMER,591.47,2200
2023-03-27,1060-20-0144,APAC,1507.22,8000
2023-03-27,1060-20-0222,APAC,3943.69,66000
2023-03-27,1060-20-0222,EMEA,2426.34,44000
2023-03-27,1060-20-0222-PS,AMER,28.83,100
2023-03-27,1062-12-0166,APAC,60088.73,344500
2023-03-27,1062-12-0166,EMEA,96383.87,1040000
2023-03-27,1062-12-0166,EMEA,11960.56,80000
2023-03-27,1062-12-0166,AMER,64243.51,482500
2023-03-27,1062-12-0222,APAC,2409.38,10000
2023-03-27,1062-12-0222-PS,AMER,234.8,400
2023-03-27,1062-14-0122,APAC,12078.48,150800
2023-03-27,1062-14-0122,EMEA,6879.06,89600
2023-03-27,1062-14-0122,EMEA,16792.85,212000
2023-03-27,1062-14-0122,AMER,1780.96,16000
2023-03-27,1062-16-0122,APAC,3349.28,32000
2023-03-27,1062-16-0122,APAC,340608.81,4400000
2023-03-27,1062-16-0122,EMEA,516.95,4000
2023-03-27,1062-16-0122,EMEA,1414.07,16000
2023-03-27,1062-16-0122,APAC,29513.44,372000
2023-03-27,1062-16-0122,APAC,7188.48,96000
2023-03-27,1062-16-0122,EMEA,6647.26,80000
2023-03-27,1062-16-0122,AMER,2732.24,32560
2023-03-27,1062-16-0144,APAC,6592,32000
2023-03-27,1062-16-0144,APAC,41907.87,212000
2023-03-27,1062-16-0144,EMEA,4358.05,16000
2023-03-27,1062-16-0144,EMEA,4283.05,16000
2023-03-27,1062-16-0144,AMER,6922,31128
2023-03-27,1062-16-0144-PS,AMER,288.48,300
2023-03-27,1062-16-0622,APAC,1466.72,16000
2023-03-27,1062-16-0622,APAC,45563.75,436000
2023-03-27,1062-16-0622,APAC,1598.21,16000
2023-03-27,1062-16-0622,AMER,1560.12,12000
2023-03-27,1062-16-0622-PS,AMER,329.5,600
2023-03-27,1062-16-0644,APAC,17218.11,68000
2023-03-27,1062-16-0644,EMEA,12042.24,64000
2023-03-27,1062-16-0644,AMER,27936.32,136000
